BQ-00001 | LEGACY_UNPARTITIONED_FULL_SCAN | 2024 | 450.5 | 42 | CRITICAL_BILLING_RUNAWAY_HAZARD | EXECUTE_AUTOMATED_BIGQUERY_PARTITION_CLUSTER_MIGRATION | 402
BQ-00002 | LEGACY_UNPARTITIONED_FULL_SCAN | 2025 | 820.2 | 89 | CRITICAL_BILLING_RUNAWAY_HAZARD | EXECUTE_AUTOMATED_BIGQUERY_PARTITION_CLUSTER_MIGRATION | 402
BQ-00003 | OPTIMIZED_PARTITIONED_CLUSTERED | 2026 | 12.4 | 2 | FINOPS_COMPLIANT_SCHEMA | RETAIN_STORAGE_CONFIGURATION | 200
BQ-00004 | OPTIMIZED_PARTITIONED_CLUSTERED | 2026 | 12.4 | 2 | FINOPS_COMPLIANT_SCHEMA | RETAIN_STORAGE_CONFIGURATION | 200
BQ-00005 | OPTIMIZED_PARTITIONED_CLUSTERED | 2026 | 12.4 | 2 | FINOPS_COMPLIANT_SCHEMA | RETAIN_STORAGE_CONFIGURATION | 200
BQ-00006 | OPTIMIZED_PARTITIONED_CLUSTERED | 2026 | 12.4 | 2 | FINOPS_COMPLIANT_SCHEMA | RETAIN_STORAGE_CONFIGURATION | 200
BQ-00007 | OPTIMIZED_PARTITIONED_CLUSTERED | 2026 | 8.1 | 1 | FINOPS_COMPLIANT_SCHEMA | RETAIN_STORAGE_CONFIGURATION | 200
BQ-00008 | OPTIMIZED_PARTITIONED_CLUSTERED | 2026 | 8.1 | 1 | FINOPS_COMPLIANT_SCHEMA | RETAIN_STORAGE_CONFIGURATION | 200
BQ-00009 | LEGACY_UNPARTITIONED_FULL_SCAN | 2024 | 450.5 | 42 | CRITICAL_BILLING_RUNAWAY_HAZARD | EXECUTE_AUTOMATED_BIGQUERY_PARTITION_CLUSTER_MIGRATION | 402
BQ-00010 | LEGACY_UNPARTITIONED_FULL_SCAN | 2025 | 820.2 | 89 | CRITICAL_BILLING_RUNAWAY_HAZARD | EXECUTE_AUTOMATED_BIGQUERY_PARTITION_CLUSTER_MIGRATION | 402
BQ-00011 | OPTIMIZED_PARTITIONED_CLUSTERED | 2026 | 12.4 | 2 | FINOPS_COMPLIANT_SCHEMA | RETAIN_STORAGE_CONFIGURATION | 200
BQ-00012 | LEGACY_UNPARTITIONED_FULL_SCAN | 2025 | 820.2 | 89 | CRITICAL_BILLING_RUNAWAY_HAZARD | EXECUTE_AUTOMATED_BIGQUERY_PARTITION_CLUSTER_MIGRATION | 402
BQ-00013 | OPTIMIZED_PARTITIONED_CLUSTERED | 2026 | 12.4 | 2 | FINOPS_COMPLIANT_SCHEMA | RETAIN_STORAGE_CONFIGURATION | 200
BQ-00014 | LEGACY_UNPARTITIONED_FULL_SCAN | 2024 | 450.5 | 42 | CRITICAL_BILLING_RUNAWAY_HAZARD | EXECUTE_AUTOMATED_BIGQUERY_PARTITION_CLUSTER_MIGRATION | 402
BQ-00015 | LEGACY_UNPARTITIONED_FULL_SCAN | 2025 | 820.2 | 89 | CRITICAL_BILLING_RUNAWAY_HAZARD | EXECUTE_AUTOMATED_BIGQUERY_PARTITION_CLUSTER_MIGRATION | 402
BQ-00016 | OPTIMIZED_PARTITIONED_CLUSTERED | 2026 | 12.4 | 2 | FINOPS_COMPLIANT_SCHEMA | RETAIN_STORAGE_CONFIGURATION | 200
BQ-00017 | OPTIMIZED_PARTITIONED_CLUSTERED | 2026 | 12.4 | 2 | FINOPS_COMPLIANT_SCHEMA | RETAIN_STORAGE_CONFIGURATION | 200
BQ-00018 | OPTIMIZED_PARTITIONED_CLUSTERED | 2026 | 12.4 | 2 | FINOPS_COMPLIANT_SCHEMA | RETAIN_STORAGE_CONFIGURATION | 200
BQ-00019 | LEGACY_UNPARTITIONED_FULL_SCAN | 2025 | 820.2 | 89 | CRITICAL_BILLING_RUNAWAY_HAZARD | EXECUTE_AUTOMATED_BIGQUERY_PARTITION_CLUSTER_MIGRATION | 402
BQ-00020 | OPTIMIZED_PARTITIONED_CLUSTERED | 2026 | 12.4 | 2 | FINOPS_COMPLIANT_SCHEMA | RETAIN_STORAGE_CONFIGURATION | 200
BQ-00021 | OPTIMIZED_PARTITIONED_CLUSTERED | 2026 | 8.1 | 1 | FINOPS_COMPLIANT_SCHEMA | RETAIN_STORAGE_CONFIGURATION | 200
BQ-00022 | OPTIMIZED_PARTITIONED_CLUSTERED | 2026 | 8.1 | 1 | FINOPS_COMPLIANT_SCHEMA | RETAIN_STORAGE_CONFIGURATION | 200
BQ-00023 | OPTIMIZED_PARTITIONED_CLUSTERED | 2026 | 8.1 | 1 | FINOPS_COMPLIANT_SCHEMA | RETAIN_STORAGE_CONFIGURATION | 200
BQ-00024 | OPTIMIZED_PARTITIONED_CLUSTERED | 2026 | 8.1 | 1 | FINOPS_COMPLIANT_SCHEMA | RETAIN_STORAGE_CONFIGURATION | 200
BQ-00025 | OPTIMIZED_PARTITIONED_CLUSTERED | 2026 | 12.4 | 2 | FINOPS_COMPLIANT_SCHEMA | RETAIN_STORAGE_CONFIGURATION | 200
BQ-00026 | LEGACY_UNPARTITIONED_FULL_SCAN | 2025 | 820.2 | 89 | CRITICAL_BILLING_RUNAWAY_HAZARD | EXECUTE_AUTOMATED_BIGQUERY_PARTITION_CLUSTER_MIGRATION | 402
BQ-00027 | OPTIMIZED_PARTITIONED_CLUSTERED | 2026 | 8.1 | 1 | FINOPS_COMPLIANT_SCHEMA | RETAIN_STORAGE_CONFIGURATION | 200
BQ-00028 | OPTIMIZED_PARTITIONED_CLUSTERED | 2026 | 8.1 | 1 | FINOPS_COMPLIANT_SCHEMA | RETAIN_STORAGE_CONFIGURATION | 200
BQ-00029 | OPTIMIZED_PARTITIONED_CLUSTERED | 2026 | 8.1 | 1 | FINOPS_COMPLIANT_SCHEMA | RETAIN_STORAGE_CONFIGURATION | 200
BQ-00030 | OPTIMIZED_PARTITIONED_CLUSTERED | 2026 | 8.1 | 1 | FINOPS_COMPLIANT_SCHEMA | RETAIN_STORAGE_CONFIGURATION | 200
BQ-00031 | LEGACY_UNPARTITIONED_FULL_SCAN | 2024 | 450.5 | 42 | CRITICAL_BILLING_RUNAWAY_HAZARD | EXECUTE_AUTOMATED_BIGQUERY_PARTITION_CLUSTER_MIGRATION | 402
BQ-00032 | OPTIMIZED_PARTITIONED_CLUSTERED | 2026 | 8.1 | 1 | FINOPS_COMPLIANT_SCHEMA | RETAIN_STORAGE_CONFIGURATION | 200
BQ-00033 | OPTIMIZED_PARTITIONED_CLUSTERED | 2026 | 12.4 | 2 | FINOPS_COMPLIANT_SCHEMA | RETAIN_STORAGE_CONFIGURATION | 200
